Recipe_ID,Recipe_Name,Title,Video_URL,Views
1267,courgette-broad-bean-risotto-basil-pesto,Pea and Broad Bean Risotto,https://www.youtube.com/watch?v=fJ4220I3Vc8&pp=ygU0aG93IHRvIG1ha2UgY291cmdldHRlIGJyb2FkIGJlYW4gcmlzb3R0byBiYXNpbCBwZXN0bw%3D%3D,2.7K views
1267,courgette-broad-bean-risotto-basil-pesto,Enjoy basil pesto and fava beans served with chestnut pasta and potatoes! | Pasta Grannies,https://www.youtube.com/watch?v=TTIzrRsRtdU&pp=ygU0aG93IHRvIG1ha2UgY291cmdldHRlIGJyb2FkIGJlYW4gcmlzb3R0byBiYXNpbCBwZXN0bw%3D%3D,73K views
1269,simple-squash-risotto,Butternut Squash Risotto | Cravings Journal,https://www.youtube.com/watch?v=gzN8xgH_7nk&pp=ygUhaG93IHRvIG1ha2Ugc2ltcGxlIHNxdWFzaCByaXNvdHRv,23K views
1269,simple-squash-risotto,Easy Squash Risotto | Under 30 Minutes,https://www.youtube.com/watch?v=NxGm-RC-OfE&pp=ygUhaG93IHRvIG1ha2Ugc2ltcGxlIHNxdWFzaCByaXNvdHRv,129 views
1269,simple-squash-risotto,Risotto | Basics with Babish,https://www.youtube.com/watch?v=E_8wQsmjn0A&pp=ygUhaG93IHRvIG1ha2Ugc2ltcGxlIHNxdWFzaCByaXNvdHRv,3.7M views
1270,vegan-mushroom-risotto,Vegan Mushroom Risotto - The most seductive dish,https://www.youtube.com/watch?v=u93NfkAmOyo&pp=ygUiaG93IHRvIG1ha2UgdmVnYW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,271K views
1270,vegan-mushroom-risotto,Creamy Vegan Mushroom Risotto - Loving It Vegan,https://www.youtube.com/watch?v=Obsn_cmTwXw&pp=ygUiaG93IHRvIG1ha2UgdmVnYW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,11K views
1270,vegan-mushroom-risotto,Fancier mushroom risotto (vegan or not),https://www.youtube.com/watch?v=R_j5k4YCDdI&pp=ygUiaG93IHRvIG1ha2UgdmVnYW4gbXVzaHJvb20gcmlzb3R0bw%3D%3D,839K views
1271,beetroot-risotto-with-feta,Beetroot Risotto with Fetta & Hazelnuts | EG12 Ep 84,https://www.youtube.com/watch?v=xTQpHOouIuQ&pp=ygUmaG93IHRvIG1ha2UgYmVldHJvb3Qgcmlzb3R0byB3aXRoIGZldGE%3D,1.3K views
1271,beetroot-risotto-with-feta,Beetroot risotto with feta,https://www.youtube.com/watch?v=u93rhvgltFw&pp=ygUmaG93IHRvIG1ha2UgYmVldHJvb3Qgcmlzb3R0byB3aXRoIGZldGE%3D,8.9K views
1271,beetroot-risotto-with-feta,Beetroot Risotto | One Pan Wonders,https://www.youtube.com/watch?v=HloLTll4XGw&pp=ygUmaG93IHRvIG1ha2UgYmVldHJvb3Qgcmlzb3R0byB3aXRoIGZldGE%3D,14K views
1272,ultimate-makeover-risotto-squash-sage,J A S O N’s Butternut Squash Risotto With Sage | Gourmet Cooking Made Easy,https://www.youtube.com/watch?v=7QzRrtohFzU&pp=ygUxaG93IHRvIG1ha2UgdWx0aW1hdGUgbWFrZW92ZXIgcmlzb3R0byBzcXVhc2ggc2FnZQ%3D%3D,170 views
1272,ultimate-makeover-risotto-squash-sage,Butternut Squash Risotto Just Like Your Nonna’s | Effortless,https://www.youtube.com/watch?v=6fizlv1kSgw&pp=ygUxaG93IHRvIG1ha2UgdWx0aW1hdGUgbWFrZW92ZXIgcmlzb3R0byBzcXVhc2ggc2FnZQ%3D%3D,1.8K views
1272,ultimate-makeover-risotto-squash-sage,Butternut Squash and Sage Risotto,https://www.youtube.com/watch?v=L-NFccnEpXg&pp=ygUxaG93IHRvIG1ha2UgdWx0aW1hdGUgbWFrZW92ZXIgcmlzb3R0byBzcXVhc2ggc2FnZQ%3D%3D,1.5K views
1273,easy-baked-tomato-risotto,Roasted Tomato Risotto - #MeatFreeMonday,https://www.youtube.com/watch?v=ot-51h4W1DQ&pp=ygUlaG93IHRvIG1ha2UgZWFzeSBiYWtlZCB0b21hdG8gcmlzb3R0bw%3D%3D,1.2K views
1273,easy-baked-tomato-risotto,Roasted Tomato and Basil Oven Risotto | Creative Cooks | Good Housekeeping UK,https://www.youtube.com/watch?v=i1enQPeIvyo&pp=ygUlaG93IHRvIG1ha2UgZWFzeSBiYWtlZCB0b21hdG8gcmlzb3R0bw%3D%3D,1.1K views
1273,easy-baked-tomato-risotto,Creamy Tomato Risotto with Crispy Garlic Crumbs,https://www.youtube.com/watch?v=CqULB7Hiw4I&pp=ygUlaG93IHRvIG1ha2UgZWFzeSBiYWtlZCB0b21hdG8gcmlzb3R0bw%3D%3D,332K views
1274,herb-parmesan-risotto,Easy Garlic Parmesan Risotto | The BEST Creamy Risotto Recipe,https://www.youtube.com/watch?v=zRh9lyJKlMI&pp=ygUhaG93IHRvIG1ha2UgaGVyYiBwYXJtZXNhbiByaXNvdHRv,71K views
1274,herb-parmesan-risotto,Classic Herb and Parmesan Risotto | GCBC14 Ep01,https://www.youtube.com/watch?v=0U59OGXT4ZY&pp=ygUhaG93IHRvIG1ha2UgaGVyYiBwYXJtZXNhbiByaXNvdHRv,1.4K views
1274,herb-parmesan-risotto,Creamy Parmesan Risotto | Pour Choices Kitchen,https://www.youtube.com/watch?v=a8J7coujEYI&pp=ygUhaG93IHRvIG1ha2UgaGVyYiBwYXJtZXNhbiByaXNvdHRv,2.9K views
1275,butternut-squash-sage-risotto,Creamy Butternut Squash and Sage Risotto (RESTAURANT-STYLE),https://www.youtube.com/watch?v=h0AtRNjRKYg&pp=ygUpaG93IHRvIG1ha2UgYnV0dGVybnV0IHNxdWFzaCBzYWdlIHJpc290dG8%3D,16K views
1275,butternut-squash-sage-risotto,Roasted Butternut Squash & Sage Risotto | Bryony Morganna,https://www.youtube.com/watch?v=d5HsZlSNSeo&pp=ygUpaG93IHRvIG1ha2UgYnV0dGVybnV0IHNxdWFzaCBzYWdlIHJpc290dG8%3D,7.9K views
1275,butternut-squash-sage-risotto,Butternut Squash and Sage Risotto,https://www.youtube.com/watch?v=xFvGFac6m8U&pp=ygUpaG93IHRvIG1ha2UgYnV0dGVybnV0IHNxdWFzaCBzYWdlIHJpc290dG8%3D,216 views
1276,easy-peasy-risotto-chilli-mint-crumbs,"Ina Garten's Easy Parmesan ""Risotto"" | Barefoot Contessa | Food Network",https://www.youtube.com/watch?v=x0gplGR3dAk&pp=ygUxaG93IHRvIG1ha2UgZWFzeSBwZWFzeSByaXNvdHRvIGNoaWxsaSBtaW50IGNydW1icw%3D%3D,228K views
1276,easy-peasy-risotto-chilli-mint-crumbs,Easy Risotto - Everyday Food with Sarah Carey,https://www.youtube.com/watch?v=3yqPLHsaE0A&pp=ygUxaG93IHRvIG1ha2UgZWFzeSBwZWFzeSByaXNvdHRvIGNoaWxsaSBtaW50IGNydW1icw%3D%3D,106K views
