Recipe_ID,Recipe_Name,Image URL
39,scotch-eggs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273686_8-c8522fd.jpg?quality=90&resize=440,400"
40,rhubarb-pear-hazelnut-crumbles,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-931487_11-6f7ad8d.jpg?quality=90&resize=440,400"
41,lemon-thyme-butter-basted-roast-chicken-gravy,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-879457_12-8fcb951.jpg?quality=90&resize=440,400"
42,marzipan-eccles-tarts,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-838499_11-e921a02.jpg?quality=90&resize=440,400"
43,ultimate-makeover-steak-kidney-pie,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-484486_11-bf11d12.jpg?quality=90&resize=440,400"
44,british-pork-cassoulet,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4007_11-2c33fa1.jpg?quality=90&resize=440,400"
45,no-fuss-shepherds-pie,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-928_11-aff69bd.jpg?quality=90&resize=93,84"
46,split-pea-green-pea-smoked-ham-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-494513_11-b822511.jpg?quality=90&resize=440,400"
47,rum-punch,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/rum-punch-5c8fd79.jpg?quality=90&resize=440,400"
48,jerk-turkey,"https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Jerk-turkey-075178b.jpg?quality=90&resize=556,505"
49,caribbean-beef-patties,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/caribbean-beef-patties-65b156c.jpg?quality=90&resize=440,400"
50,sticky-jerk-salmon-mango-slaw,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salmon_8-22d72a8.jpg?quality=90&resize=440,400"
51,jerk-chicken-rice-peas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1047528_11-62a849b.jpg?quality=90&resize=440,400"
52,jerk-sweet-potato-black-bean-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1173503_12-677f8cf.jpg?quality=90&resize=440,400"
53,goat-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1047532_11-dd713ee.jpg?quality=90&resize=440,400"
54,jamaican-saltfish-fritters,"https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Jamaican-saltfish-fritters-f2555ad.jpg?quality=90&resize=556,505"
